FPR,TPR
0,0
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.00015909,0.001713307
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000308236,0.005711022
0.000462354,0.009708738
0.000462354,0.009708738
0.000462354,0.009708738
0.000462354,0.009708738
0.000462354,0.009708738
0.000462354,0.009708738
0.000462354,0.009708738
0.000462354,0.009708738
0.000462354,0.009708738
0.000462354,0.009708738
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.000609015,0.01541976
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.00075319,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.022844089
0.000755676,0.023415191
0.000755676,0.023415191
