FPR,TPR
3.82451E-06,0.212154696
8.65745E-06,0.216574586
1.34743E-05,0.224309392
1.82911E-05,0.232044199
2.31241E-05,0.236464088
2.79785E-05,0.236464088
3.28329E-05,0.236464088
3.7639E-05,0.24640884
4.24665E-05,0.251933702
4.73102E-05,0.254143646
5.21646E-05,0.254143646
5.69868E-05,0.260773481
6.18412E-05,0.260773481
6.66849E-05,0.262983425
7.15339E-05,0.264088398
7.63883E-05,0.264088398
8.12373E-05,0.26519337
8.60863E-05,0.266298343
9.09407E-05,0.266298343
9.57844E-05,0.268508287
0.000100628,0.270718232
0.000105461,0.275138122
0.000110315,0.275138122
0.000115164,0.276243094
0.000120013,0.277348066
0.000124857,0.279558011
0.000129712,0.279558011
0.000134555,0.281767956
0.000139399,0.283977901
0.000144253,0.283977901
0.000149097,0.286187845
0.000153946,0.287292818
0.0001588,0.287292818
0.000163644,0.289502762
0.000168498,0.289502762
0.000173347,0.290607735
0.000178186,0.293922652
0.00018304,0.293922652
0.000187878,0.297237569
0.000192733,0.297237569
0.000197582,0.298342541
0.000202431,0.299447514
0.00020728,0.300552486
0.000212124,0.302762431
0.000216978,0.302762431
0.000221832,0.302762431
0.000226687,0.302762431
0.000231541,0.302762431
0.00023639,0.303867403
0.000241245,0.303867403
0.000246099,0.303867403
0.000250948,0.304972376
0.000255797,0.306077348
0.000260646,0.30718232
0.000265495,0.308287293
0.000270349,0.308287293
0.000275204,0.308287293
0.000280053,0.309392265
0.000284907,0.309392265
0.000289746,0.312707182
0.000294589,0.314917127
0.000299444,0.314917127
0.000304298,0.314917127
0.000309152,0.314917127
0.000314007,0.314917127
0.000318856,0.316022099
0.00032371,0.316022099
0.000328565,0.316022099
0.000333398,0.320441989
0.000338252,0.320441989
0.000343106,0.320441989
0.000347961,0.320441989
0.000352815,0.320441989
0.000357669,0.320441989
0.000362524,0.320441989
0.000367378,0.320441989
0.000372227,0.321546961
0.000377082,0.321546961
0.000381936,0.321546961
0.000386785,0.322651934
0.000391634,0.323756906
