573	1
270	2
606	4
155	6
155	2
155	7
269	9
747	10
747	11
747	6
306	14
66	16
110	9
110	19
110	20
640	23
357	24
171	25
525	23
525	28
62	1
676	9
676	29
69	30
744	27
717	31
503	18
503	9
51	28
51	34
235	37
287	37
85	9
85	11
454	2
487	28
487	41
349	42
349	18
349	41
626	1
566	18
104	9
294	43
294	44
733	4
209	23
491	28
84	14
240	44
561	10
385	41
325	52
21	11
21	9
21	46
352	54
352	40
558	14
558	55
558	3
342	9
456	59
39	11
673	60
164	9
164	22
164	61
164	18
164	14
164	54
164	63
164	66
164	28
516	69
714	19
714	70
714	71
714	9
714	1
714	30
714	28
714	72
714	73
714	5
714	74
714	49
282	11
441	53
421	76
389	77
594	78
262	79
572	79
328	9
481	9
481	40
518	10
732	82
732	53
186	9
225	14
459	13
459	23
459	41
459	9
459	30
459	83
459	18
459	71
459	26
459	5
459	84
459	53
459	68
459	76
459	48
459	85
459	28
292	9
292	11
207	10
207	41
662	86
372	88
711	91
711	63
711	93
711	5
711	72
95	95
95	97
95	44
95	30
95	9
95	23
303	98
621	5
399	44
620	6
430	99
430	23
430	18
154	41
154	2
610	95
192	44
192	8
192	1
192	30
192	95
192	55
192	102
192	9
192	5
192	28
192	11
58	9
245	46
245	104
91	2
241	105
578	106
578	48
578	28
578	108
204	11
162	28
162	5
162	109
479	110
440	111
388	10
215	11
215	9
417	112
417	52
530	11
179	18
179	105
10	6
114	9
114	41
359	114
73	2
126	95
193	18
193	5
193	55
193	43
176	10
137	105
445	44
11	117
497	68
550	37
634	118
395	23
360	72
358	9
597	73
597	119
507	2
490	46
529	63
529	72
529	18
529	30
529	55
529	120
529	9
529	46
529	5
529	23
380	121
700	14
707	28
707	122
707	123
707	9
212	55
376	18
376	23
737	124
128	10
128	110
128	2
128	126
128	128
261	10
261	37
174	129
156	10
574	11
117	55
247	1
202	23
202	14
202	30
483	9
590	9
590	130
590	18
590	28
590	131
115	10
585	132
335	28
65	28
65	5
65	133
65	68
65	113
65	23
65	30
65	9
65	135
65	19
65	99
65	65
139	136
40	2
142	128
142	58
131	137
165	104
589	41
12	9
12	100
12	95
538	23
538	9
160	141
699	23
273	142
273	143
238	58
26	1
26	145
478	9
478	95
87	28
87	10
87	146
37	55
480	55
20	23
260	40
260	25
260	9
260	24
260	10
260	5
671	1
124	72
129	10
555	26
15	44
15	30
211	23
14	10
14	2
369	46
691	150
691	9
691	14
508	9
548	2
548	10
196	23
61	16
61	143
61	6
680	2
670	5
670	151
547	5
681	23
341	72
351	153
256	154
375	19
80	19
276	14
195	30
195	10
195	22
703	9
420	2
230	60
675	41
629	119
177	2
340	2
355	10
355	44
682	130
197	143
52	42
52	9
544	6
119	19
159	28
496	14
639	10
639	37
22	161
674	9
674	52
674	18
674	39
333	105
695	166
7	9
7	72
7	68
7	18
13	1
701	9
592	2
392	167
655	168
725	10
654	68
146	68
387	28
687	19
687	119
687	2
687	29
687	9
687	11
687	162
687	28
687	66
687	41
687	105
687	169
687	23
687	170
687	18
687	30
687	54
687	55
687	44
687	14
687	43
687	37
568	28
568	40
568	2
568	44
246	30
416	175
475	19
448	9
448	1
97	10
410	37
447	105
320	19
254	9
254	68
604	2
593	176
259	9
705	2
650	41
519	68
331	44
331	177
331	178
331	68
331	179
331	180
331	181
331	28
556	18
68	182
98	23
632	183
33	37
511	184
683	14
683	2
683	18
575	176
575	2
361	2
111	41
622	189
41	190
729	44
729	28
515	10
113	19
296	5
67	23
250	176
35	37
35	10
348	85
569	192
653	65
166	118
173	46
173	11
173	43
173	55
173	93
173	68
173	96
173	28
173	194
173	195
173	66
173	44
173	9
173	52
173	23
173	118
173	197
173	198
173	5
537	199
101	200
396	9
396	44
396	177
302	18
54	186
16	95
565	53
565	68
565	1
565	23
565	202
565	19
275	60
582	22
582	204
582	9
582	28
582	134
582	11
161	46
563	60
217	18
583	26
663	37
236	5
526	6
437	1
185	23
510	13
510	14
428	6
330	99
330	207
330	53
330	43
330	52
330	9
330	28
330	30
330	1
330	209
330	44
330	210
330	73
646	53
646	9
468	10
624	72
624	18
624	55
624	5
354	30
169	176
523	23
551	14
531	11
531	9
531	5
531	99
531	14
531	55
531	23
47	213
47	10
374	215
332	9
651	10
118	18
118	9
704	42
716	11
716	9
716	54
716	30
716	22
716	159
716	216
716	82
716	2
716	18
716	53
716	41
716	102
716	105
716	95
612	9
612	93
612	72
158	9
554	26
208	71
297	16
297	6
498	73
498	68
498	53
498	19
141	217
452	23
463	14
588	72
588	218
272	37
444	18
464	219
464	22
408	41
182	220
724	31
312	165
106	73
288	10
326	54
326	9
326	23
326	30
541	68
541	29
541	54
495	37
418	19
300	22
300	42
300	109
145	60
145	18
145	118
145	227
145	28
642	46
318	28
502	91
502	6
227	22
227	9
227	23
223	10
283	23
283	1
283	10
367	9
609	29
638	9
457	44
457	28
457	229
457	46
457	118
457	230
457	231
457	23
457	5
457	26
457	72
457	9
457	232
457	176
457	11
457	55
457	68
457	19
457	18
457	60
356	10
109	6
660	210
607	10
731	128
187	18
577	9
434	41
228	30
218	28
218	73
218	43
31	14
31	23
31	49
31	235
390	10
390	236
257	6
665	239
77	67
470	55
625	19
36	24
36	159
736	10
347	9
347	23
316	5
316	99
316	23
363	241
198	242
291	105
637	28
637	99
637	68
637	18
637	55
637	243
637	54
637	9
637	5
637	23
637	30
637	44
637	95
637	102
637	141
409	176
713	65
713	26
353	9
353	28
482	53
482	6
482	28
567	10
474	102
461	28
461	68
461	9
242	6
338	6
338	2
138	165
138	245
138	28
739	6
450	85
450	20
42	14
42	53
50	30
263	18
57	9
57	11
57	2
57	23
19	210
99	128
99	58
403	30
403	14
735	23
522	30
679	9
45	44
738	44
738	119
471	9
552	9
552	249
552	176
92	28
92	10
648	9
648	10
539	14
539	162
539	250
539	22
539	19
539	30
298	251
524	1
381	9
517	28
309	18
309	22
38	68
630	18
528	28
368	253
368	43
368	5
362	28
362	14
407	44
453	23
453	9
191	6
150	95
150	44
499	44
553	143
595	30
532	254
55	9
251	44
271	100
514	9
4	23
284	54
334	14
726	246
78	9
78	258
78	46
78	44
571	9
571	18
722	73
443	10
443	14
183	28
382	95
718	23
144	41
521	10
521	2
305	9
346	9
221	9
486	18
473	6
402	37
203	37
462	99
643	2
493	183
493	26
489	41
313	30
313	18
313	28
313	65
313	5
377	18
265	261
103	95
615	72
307	18
132	37
506	263
133	39
170	23
536	14
266	2
194	2
627	47
94	9
586	265
188	9
600	41
310	9
184	41
184	23
184	267
484	9
429	268
540	219
540	176
685	22
678	41
535	10
343	9
442	6
327	9
46	9
46	30
46	44
414	119
378	54
438	72
438	54
451	41
34	72
34	23
1	41
226	23
178	19
178	269
641	68
317	28
628	41
274	165
424	28
29	30
379	6
365	41
669	9
285	170
285	13
285	23
219	9
546	37
494	41
748	2
520	65
581	93
666	14
398	67
100	37
130	37
545	6
406	65
741	49
709	9
75	49
76	275
706	95
706	37
706	10
706	28
234	263
743	2
386	10
153	23
237	9
645	9
391	23
105	9
623	30
623	41
623	14
413	54
661	6
432	9
239	246
295	2
668	220
190	9
244	5
244	22
96	30
6	28
366	30
366	44
366	176
231	9
127	251
601	54
412	60
30	14
656	95
